,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Togo","Data source","All types","1.31","1.41","1.45","1.46","1.11","1.04","1.06","1.04","0.98","1.16"
"Tonga","Data source","All types","1.08","1.10","2.05","1.79","1.57","1.79","1.79","1.50","1.34","1.24"
"Trinidad and Tobago","Data source","All types","6.37","6.41","6.37","6.35","6.12","5.82","5.53","5.12","4.55","4.68"
"Tunisia","Data source","All types","1.39","1.37","1.23","1.45","1.37","1.35","1.33","1.30","1.34","1.35"
"Turkey","Data source","All types","1.40","1.39","1.26","1.29","1.29","1.35","1.42","1.47","1.49","1.54"
"Turkmenistan","Data source","All types","2.35","2.41","2.55","2.72","2.85","2.86","2.88","2.86","2.90","3.78"
"Tuvalu","Data source","All types","1.31","1.05","0.59","1.37","0.94","1.98","1.53","0.58","2.13","1.24"
"Uganda","Data source","All types","10.88","11.12","10.90","11.09","11.41","11.15","11.45","11.71","11.87","11.73"
"Ukraine","Data source","All types","9.41","9.53","8.92","8.04","7.34","6.79","5.92","4.89","4.31","4.49"
"United Arab Emirates","Data source","All types","1.72","1.82","1.62","1.62","1.62","1.58","1.56","1.59","1.61","1.63"
"United Kingdom of Great Britain and Northern Ireland","Data source","All types","10.14","10.78","11.14","10.96","11.37","11.55","11.25","11.31","11.29","10.82"
"United Republic of Tanzania","Data source","All types","6.28","4.95","6.87","6.02","5.70","5.63","3.39","5.07","6.21","5.92"
"United States of America","Data source","All types","8.71","8.74","8.74","8.63","8.52","8.48","8.40","8.33","8.25","8.21"
"Uruguay","Data source","All types","6.67","6.76","6.67","6.58","6.35","5.66","5.11","5.86","6.48","6.65"
"Uzbekistan","Data source","All types","1.78","1.84","1.86","1.93","1.88","2.02","3.35","3.12","3.23","3.22"
"Vanuatu","Data source","All types","0.83","1.18","1.01","1.00","0.88","0.85","1.20","1.24","0.91","1.21"
"Venezuela (Bolivarian Republic of)","Data source","All types","7.56","8.15","8.69","8.25","7.91","7.58","6.33","6.92","8.08","8.04"
"Viet Nam","Data source","All types","1.91","1.73","1.52","1.36","1.20","1.62","1.58","1.41","1.36","1.28"
"Yemen","Data source","All types","0.03","0.04","0.05","0.04","0.04","0.06","0.04","0.07","0.08","0.07"
"Zambia","Data source","All types","2.50","2.31","2.78","2.49","2.25","2.39","2.28","2.41","2.59","2.62"
"Zimbabwe","Data source","All types","2.48","2.85","2.28","2.36","1.92","2.27","1.77","2.20","1.73","1.70"
